episode,year,return,avg_loss,epsilon,yield,water,buffer_size,eval_avg_return,eval_std_return,eval_avg_water,eval_avg_yield,eval_n_eval
135,2003,174.97940063476562,1565.632402826528,0.050000000000000044,496.9794006347656,3220.0,16552,,,,,
136,2004,868.906982421875,1431.885187805676,0.050000000000000044,1236.906982421875,3680.0,16674,,,,,
137,2019,22.200592041015625,1647.6296510918196,0.050000000000000044,405.7005920410156,3835.0,16803,,,,,
138,2011,402.56414794921875,1220.812923781077,0.050000000000000044,702.0641479492188,2995.0,16923,,,,,
139,2005,167.92404174804688,1378.298063585835,0.050000000000000044,509.4240417480469,3415.0,17047,,,,,
140,2007,946.580322265625,1428.5929946268886,0.050000000000000044,1267.580322265625,3210.0,17168,,,,,
141,2014,264.3758544921875,1633.5812583797235,0.050000000000000044,621.3758544921875,3570.0,17289,,,,,
142,2015,256.24383544921875,1185.060727736529,0.050000000000000044,615.2438354492188,3590.0,17408,,,,,
143,2013,636.220703125,1554.3654147972495,0.050000000000000044,948.220703125,3120.0,17526,,,,,
144,2015,297.1446533203125,1751.4491968235047,0.050000000000000044,641.1446533203125,3440.0,17645,,,,,
145,2011,354.80389404296875,1316.3792629241943,0.050000000000000044,693.3038940429688,3385.0,17765,,,,,
146,2015,291.9400634765625,1537.7243349411908,0.050000000000000044,581.9400634765625,2900.0,17884,,,,,
147,2008,157.87252807617188,1490.6450575541674,0.050000000000000044,487.3725280761719,3295.0,18007,,,,,
148,2020,335.6016845703125,1329.3310253893742,0.050000000000000044,680.6016845703125,3450.0,18129,,,,,
149,2001,69.22500610351562,1316.4120820363362,0.050000000000000044,390.7250061035156,3215.0,18255,,,,,
150,2014,263.49169921875,1270.7409406929962,0.050000000000000044,582.49169921875,3190.0,18376,13.550384521484375,8.691650390625,3537.5,367.3003845214844,2.0
151,2014,269.1817626953125,1467.2796436026076,0.050000000000000044,626.1817626953125,3570.0,18497,,,,,
152,2011,334.8902587890625,1348.8976019859315,0.050000000000000044,676.8902587890625,3420.0,18617,,,,,
